Year;Best current length for message #0
0;0
125;2
250;2
375;2
500;6
625;6
750;6
875;6
1000;6
1125;6
1250;6
1375;6
1500;6
1625;6
1750;6
1875;6
2000;6
2125;6
2250;5
2375;5
2500;5
2625;5
2750;5
2875;5
3000;5
3125;5
3250;5
3375;5
3500;5
3625;5
3750;5
3875;5
4000;5
4125;5
4250;5
4375;5
4500;5
4625;5
4750;5
4875;5
5000;5
5125;5
5250;5
5375;5
5500;5
5625;5
5750;5
5875;5
6000;5
6125;5
6250;5
6375;5
6500;5
6625;5
6750;5
6875;5
7000;5
7125;5
7250;5
7375;5
7500;5
7625;5
7750;5
7875;5
8000;5
8125;5
8250;5
8375;5
8500;5
8625;5
8750;5
8875;5
9000;5
9125;5
9250;5
9375;5
9500;5
9625;5
9750;5
9875;5
10000;5
10125;5
10250;5
10375;5
10500;5
10625;5
10750;5
10875;5
11000;5
11125;5
11250;5
11375;5
11500;5
11625;5
11750;5
11875;5
12000;5
12125;5
12250;5
12375;5
12500;5
12625;5
12750;5
12875;5
13000;5
13125;5
13250;5
13375;5
13500;5
13625;5
13750;5
13875;5
14000;5
14125;5
14250;5
14375;5
14500;5
14625;5
14750;5
14875;5
15000;5
15125;5
15250;5
15375;5
15500;5
15625;5
15750;5
15875;5
16000;5
16125;5
16250;5
16375;5
16500;5
16625;5
16750;5
16875;5
17000;5
17125;5
17250;5
17375;5
17500;5
17625;5
17750;5
17875;5
18000;5
18125;5
18250;5
18375;5
18500;5
18625;5
18750;5
18875;5
19000;5
19125;5
19250;5
19375;5
19500;5
19625;5
19750;5
19875;5
20000;5
20125;5
20250;5
20375;5
20500;5
20625;5
20750;5
20875;5
21000;5
21125;5
21250;5
21375;5
21500;5
21625;5
21750;5
21875;5
22000;5
22125;5
22250;5
22375;5
22500;5
22625;5
22750;5
22875;5
23000;5
23125;5
23250;5
23375;5
23500;5
23625;5
23750;5
23875;5
24000;5
24125;5
24250;5
24375;5
24500;5
24625;5
24750;5
24875;5
25000;5
25125;5
25275;5
25312;5
25350;5
25406;5
25437;5
25460;5
25481;5
25497;5
25512;5
25533;5
25547;5
25561;5
25562;5
25575;5
25582;5
25593;5
25600;5
25610;5
25620;5
25630;5
25637;5
25646;5
25655;5
25663;5
25665;5
25672;5
25680;5
25687;5
25695;5
25700;5
25706;5
25710;5
25715;5
25720;5
25725;5
25732;5
25736;5
25740;5
25743;5
25747;5
25750;5
25753;5
25757;5
25760;5
25762;5
25765;5
25767;5
25770;5
25771;5
25773;5
25775;5
25777;5
25779;5
25781;5
25783;5
25783;5
25785;5
25787;5
25788;5
25789;5
25791;5
25792;5
25795;5
25796;5
25797;5
25798;5
25800;5
25801;5
25801;5
25803;5
25804;5
25805;5
25806;5
25807;5
25808;5
25809;5
25809;5
25810;5
25811;5
25812;5
25812;5
25813;5
25814;5
25815;5
25815;5
25816;5
25817;5
25818;5
25818;5
25819;5
25820;5
25820;5
25821;5
25821;5
25822;5
25823;5
25823;5
25824;5
25824;5
25825;5
25825;5
25826;5
25826;5
25827;5
25827;5
25828;5
25828;5
25829;5
25829;5
25830;5
25830;5
25831;5
25831;5
25832;5
25832;5
25833;5
25833;5
25833;5
25834;5
25834;5
25834;5
25835;5
25835;5
25836;5
25836;5
25836;5
25837;5
25837;5
25837;5
25838;5
25838;5
25839;5
25839;5
25839;5
25840;5
25840;5
25840;5
25841;5
25841;5
25842;5
25842;5
25842;5
25842;5
25843;5
25843;5
25843;5
25843;5
25844;5
25844;5
25844;5
25844;5
25845;5
25845;5
25845;5
25845;5
25846;5
25846;5
25846;5
25846;5
25847;5
25847;5
25847;5
25847;5
25848;5
25848;5
25848;5
25848;5
25849;5
25849;5
25849;5
25849;5
25850;5
25850;5
25850;5
25850;5
25851;5
25851;5
25851;5
25851;5
25851;5
25851;5
25851;5
25852;5
25852;5
25852;5
25852;5
25852;5
25852;5
25852;5
25852;5
25853;5
25853;5
25853;5
25853;5
25853;5
25853;5
25853;5
25853;5
25854;5
25854;5
25854;5
25854;5
25854;5
25854;5
25854;5
25854;5
25855;5
25855;5
25855;5
25855;5
25855;5
25855;5
25855;5
25855;5
25856;5
25856;5
25856;5
25856;5
25856;5
25856;5
25856;5
25856;5
25857;5
25857;5
25857;5
25857;5
25857;5
25857;5
25857;5
25857;5
25858;5
25858;5
25858;5
25858;5
25858;5
25858;5
25858;5
25858;5
25859;5
25859;5
25859;5
25859;5
25859;5
25859;5
25859;5
25859;5
25860;5
25860;5
25860;5
25860;5
25860;5
25860;5
25860;5
25860;5
25861;5
25861;5
25861;5
25861;5
25861;5
25861;5
25861;5
25861;5
25862;5
25862;5
25862;5
25862;5
25862;5
25862;5
25862;5
25862;5
25863;5
25863;5
25863;5
25863;5
25863;5
25863;5
25863;5
25863;5
25864;5
25864;5
25864;5
25864;5
25864;5
25864;5
25864;5
25864;5
25865;5
25865;5
25865;5
25865;5
25865;5
25865;5
25865;5
25865;5
25866;5
25866;5
25866;5
25866;5
25866;5
25866;5
25866;5
25866;5
25867;5
25867;5
25867;5
25867;5
25867;5
25867;5
25867;5
25867;5
25868;5
25868;5
25868;5
25868;5
25868;5
25868;5
25868;5
25868;5
25869;5
