Year;Food
0;0
1;0
2;0
3;0
4;0
5;1
6;2
7;5
8;9
9;11
10;15
11;17
12;20
13;24
14;25
15;30
16;33
17;36
18;37
19;38
20;40
21;42
22;42
23;42
24;42
25;43
26;43
27;44
28;45
29;46
30;46
31;47
32;49
33;54
34;58
35;60
36;61
37;64
38;64
39;65
40;68
41;68
42;69
43;69
44;69
45;69
46;69
47;69
48;69
49;70
50;70
51;71
52;73
53;74
54;75
55;78
56;82
57;85
58;87
59;87
60;89
61;90
62;90
63;91
64;92
65;92
66;93
67;93
68;93
69;93
70;96
71;98
72;98
73;100
74;100
75;102
76;104
77;106
78;106
79;107
80;108
81;114
82;117
83;117
84;118
85;121
86;121
87;121
88;121
89;121
90;121
91;124
92;125
93;127
94;129
95;133
96;135
97;136
98;137
99;138
100;139
101;139
102;140
103;141
104;142
105;143
106;143
107;143
108;144
109;144
110;146
111;147
112;148
113;150
114;150
115;151
116;153
117;154
118;155
119;156
120;158
121;159
122;162
123;162
124;164
125;166
126;167
127;167
128;167
129;168
130;171
131;172
132;172
133;173
134;173
135;174
136;175
137;175
138;177
139;177
140;177
141;177
142;177
143;179
144;179
145;180
146;180
147;180
148;181
149;186
150;188
151;193
152;195
153;196
154;198
155;200
156;200
157;202
158;204
159;204
160;204
161;204
162;204
163;205
164;205
165;206
166;206
167;210
168;210
169;210
170;210
171;211
172;211
173;211
174;211
175;212
176;214
177;214
178;219
179;222
180;226
181;226
182;228
183;232
184;232
185;233
186;233
187;233
188;235
189;235
190;235
191;235
192;236
193;236
194;237
195;237
196;237
197;239
198;240
199;240
200;240
201;240
202;240
203;241
204;241
205;241
206;241
207;241
208;241
209;241
210;241
211;241
212;241
213;241
214;241
215;241
216;241
217;241
218;241
219;241
220;241
221;241
222;241
223;241
224;241
225;241
226;241
227;241
228;241
229;241
230;241
231;241
232;241
233;241
234;241
235;241
236;241
237;241
238;241
239;241
240;241
241;241
242;241
243;241
244;241
245;241
246;241
247;241
248;241
249;241
250;241
251;241
252;241
253;241
254;241
255;241
256;241
257;241
258;241
259;241
260;241
261;241
262;241
263;241
264;241
265;241
266;241
267;241
268;241
269;241
270;241
271;241
272;241
273;241
274;241
275;241
276;241
277;241
278;241
279;241
280;242
281;242
282;242
283;242
284;243
285;243
286;243
287;243
288;244
289;245
290;246
291;246
292;246
293;246
294;246
295;246
296;246
297;246
298;246
299;246
300;247
301;247
302;247
303;248
304;248
305;248
306;248
307;248
308;248
309;248
310;248
311;249
312;249
313;249
314;249
315;249
316;249
317;249
318;249
319;249
320;249
321;249
322;249
323;249
324;249
325;249
326;249
327;249
328;249
329;249
330;249
331;249
332;249
333;249
334;249
335;249
336;249
337;249
338;249
339;249
340;249
341;249
342;249
343;249
344;249
345;249
346;249
347;249
348;249
349;249
350;249
351;249
352;249
353;249
354;249
355;249
356;249
357;249
358;249
359;250
360;250
361;250
362;250
363;250
364;250
365;250
366;250
367;250
368;250
369;250
370;250
371;250
372;250
373;250
374;250
375;252
376;257
377;259
378;268
379;274
380;279
381;280
382;282
383;284
384;288
385;289
386;289
387;289
388;292
389;293
390;293
391;293
392;293
393;294
394;294
395;294
396;294
397;294
398;294
399;294
400;294
401;294
402;295
403;302
404;309
405;317
406;321
407;327
408;328
409;331
410;332
411;333
412;335
413;335
414;336
415;337
416;337
417;338
418;338
419;338
420;338
421;338
422;338
423;338
424;338
425;338
426;338
427;338
428;338
429;338
430;338
431;338
432;338
433;338
434;338
435;338
436;338
437;338
438;338
439;338
440;338
441;338
442;338
443;338
444;338
445;338
446;338
447;338
448;338
449;338
450;338
451;338
452;338
453;338
454;338
455;338
456;338
457;338
458;338
459;338
460;338
461;338
462;338
463;338
464;338
465;338
466;338
467;338
468;338
469;338
470;338
471;338
472;338
473;338
474;338
475;338
476;338
477;338
478;338
479;338
480;338
481;338
482;338
483;338
484;338
485;338
486;338
487;338
488;338
489;338
490;338
491;338
492;338
493;338
494;338
495;338
496;338
497;338
498;338
499;338
500;338
501;338
502;338
503;338
504;338
505;339
506;339
507;339
508;339
509;339
510;339
511;339
512;339
513;339
514;339
515;339
516;340
517;340
518;341
519;341
520;341
521;341
522;341
523;341
524;341
525;341
526;341
527;341
528;341
529;341
530;341
531;341
