Year;red Satisfaction;blue Satisfaction;brown Satisfaction
0;0;0;0
1000;14.088;12.933;10.162
2000;25.404;23.557;21.94
3000;32.333;28.868;32.333
4000;36.721;29.33;37.644
5000;43.88;37.644;40.185
6000;49.423;41.109;44.111
7000;49.192;42.494;47.344
8000;52.194;44.111;50.808
9000;53.811;48.961;51.27
10000;55.889;51.27;53.58
11000;57.737;56.12;58.199
12000;60.97;59.353;59.815
13000;62.125;65.589;61.894
14000;63.048;64.434;63.51
15000;68.129;66.513;64.665
16000;66.744;67.898;66.513
17000;66.051;68.36;69.053
18000;68.822;72.055;73.21
19000;72.979;73.441;73.672
20000;72.979;76.443;74.134
21000;76.674;75.982;75.289
22000;78.522;78.291;79.215
23000;78.984;79.677;78.984
24000;79.677;80.831;79.908
25000;80.37;83.834;80.37
26000;81.293;85.219;82.91
27000;81.986;83.141;83.141
28000;82.217;83.372;82.91
29000;82.679;82.448;82.679
30000;85.45;83.834;83.372
31000;85.912;84.296;84.758
32000;87.991;83.834;84.065
33000;87.76;86.143;86.836
34000;87.76;85.681;86.143
35000;87.76;85.681;86.374
36000;87.529;86.374;86.374
37000;88.222;86.374;87.298
38000;88.915;88.222;88.684
39000;89.145;89.376;89.145
40000;90.762;90.993;90.762
41000;90.3;90.762;91.455
42000;90.993;90.069;91.917
43000;92.61;91.686;91.917
44000;92.379;91.917;91.686
45000;93.533;94.226;94.226
46000;94.457;93.995;95.15
47000;95.15;95.843;95.612
48000;95.612;94.919;96.305
49000;95.843;95.381;96.767
50000;95.612;95.381;97.229
51000;95.15;95.15;96.305
52000;95.612;96.305;95.843
53000;95.612;95.843;95.843
54000;95.381;96.074;96.074
55000;96.074;95.381;95.612
56000;96.074;95.612;96.305
57000;96.305;95.843;97.229
58000;96.998;95.843;97.46
59000;97.691;96.536;97.921
60000;97.921;97.229;98.614
61000;98.383;97.229;98.845
62000;98.614;97.691;98.383
63000;98.845;97.921;97.921
64000;98.845;97.691;97.921
65000;98.845;97.921;97.691
66000;98.845;97.46;97.921
67000;98.152;97.229;97.921
68000;97.691;97.229;97.46
69000;97.691;96.998;98.152
70000;97.921;97.229;98.152
71000;97.691;97.46;98.152
72000;98.383;97.229;98.614
73000;98.383;97.691;99.076
74000;98.152;98.152;99.307
75000;97.921;97.691;99.076
76000;97.46;97.691;99.076
77000;97.46;98.152;99.076
78000;97.691;97.921;98.845
79000;97.921;98.845;99.076
80000;97.921;98.614;99.307
81000;98.152;99.076;99.307
82000;98.383;98.614;99.538
83000;98.614;98.614;99.307
84000;98.614;99.076;99.307
85000;99.307;99.076;99.076
86000;99.307;99.076;99.307
87000;99.307;99.076;99.769
88000;99.307;99.076;100.0
89000;99.307;99.307;100.0
90000;99.307;99.307;99.769
91000;99.307;99.538;99.307
92000;99.538;99.538;99.769
93000;99.538;99.538;99.769
94000;99.538;99.538;100.0
95000;99.538;99.538;100.0
96000;99.538;99.307;100.0
97000;99.538;99.307;99.769
98000;99.538;99.307;99.769
99000;99.538;99.538;99.307
100000;99.538;99.538;99.307
101000;99.538;99.538;99.307
102000;99.538;99.307;99.307
103000;99.769;99.307;99.307
104000;99.769;99.538;99.307
105000;99.538;99.538;99.769
106000;99.538;99.538;99.769
107000;99.538;99.538;99.769
108000;99.538;99.538;99.769
109000;99.538;99.538;99.769
110000;99.538;99.538;99.769
111000;99.538;99.538;99.769
112000;99.307;99.538;99.538
113000;99.538;99.538;99.769
114000;99.538;99.538;99.769
115000;99.307;99.538;100.0
116000;99.538;99.538;100.0
117000;99.769;99.538;99.769
118000;99.769;99.538;99.538
119000;99.538;99.538;99.538
120000;99.769;99.538;99.538
121000;99.769;99.538;99.538
122000;99.769;99.538;99.769
123000;99.769;99.538;99.769
124000;99.769;99.538;99.769
125000;99.769;99.538;99.769
126000;99.769;99.538;100.0
127000;99.769;99.538;99.538
128000;100.0;99.307;99.769
129000;100.0;99.769;99.769
130000;100.0;99.769;99.769
131000;99.769;99.769;99.769
132000;99.769;99.769;100.0
133000;99.769;99.769;100.0
134000;99.769;99.769;99.769
135000;99.769;100.0;99.769
136000;99.769;100.0;99.769
137000;99.769;100.0;99.538
138000;99.769;100.0;99.769
139000;100.0;100.0;99.769
140000;100.0;100.0;99.769
141000;100.0;100.0;99.769
142000;100.0;100.0;99.769
143000;100.0;100.0;99.769
144000;100.0;100.0;99.769
145000;100.0;100.0;99.769
146000;100.0;100.0;99.769
147000;100.0;100.0;99.769
148000;100.0;100.0;99.769
149000;100.0;100.0;99.769
150000;100.0;100.0;99.769
151000;100.0;100.0;100.0
152000;100.0;100.0;100.0
153000;100.0;100.0;100.0
154000;100.0;100.0;100.0
155000;100.0;100.0;100.0
156000;100.0;100.0;100.0
157000;100.0;100.0;100.0
158000;100.0;100.0;100.0
158444;100.0;100.0;100.0
