Year;Cooperativeness;Exploration
0;0;0
0;49;50
30;77;55
60;96;54
90;98;55
120;98;60
150;98;57
180;99;58
210;98;55
240;99;59
270;98;68
300;97;69
330;98;71
360;98;76
390;99;72
420;99;76
450;97;74
480;98;79
510;97;80
540;97;88
570;97;84
600;98;83
630;98;84
660;99;84
690;97;82
720;96;80
750;97;78
780;99;77
810;99;78
840;97;75
870;99;75
900;97;75
930;98;75
960;97;80
990;97;77
1020;99;69
1050;98;69
1080;98;72
1110;97;73
1140;97;73
1170;98;76
1200;98;75
1230;97;74
1260;97;72
1290;98;79
1320;97;75
1350;99;73
1380;98;70
1410;99;66
1440;99;64
1470;99;69
1500;98;66
1530;99;66
1560;99;74
1590;98;70
1620;98;80
1650;98;80
1680;98;83
1710;98;80
1740;96;82
1770;96;79
1800;97;76
1830;98;68
1860;97;73
1890;97;77
1920;97;78
1950;97;81
1980;96;80
2010;98;79
2040;99;77
2070;98;77
2100;99;77
2130;99;76
2160;98;77
2190;98;79
2220;96;78
2250;98;78
2280;99;80
2310;98;83
2340;98;82
2370;97;78
2400;99;80
2430;99;80
2460;98;79
2490;97;82
2520;98;79
2550;98;80
2580;98;83
2610;98;82
2640;97;84
2670;97;88
2700;94;91
2730;93;92
2760;95;90
2790;94;87
2820;95;86
2850;96;85
2880;97;81
2910;97;78
2940;98;78
2970;99;76
3000;97;87
3030;97;83
3060;97;85
3090;97;88
3120;95;88
3150;95;87
3180;96;85
3210;96;85
3240;96;83
3270;97;77
3300;98;68
3330;98;68
3360;98;67
3390;99;62
3420;97;62
3450;99;58
3480;99;60
3510;97;61
3540;97;62
3570;99;68
3600;99;75
3630;98;75
3660;98;74
3690;99;74
3720;99;67
3750;97;59
3780;98;62
3810;98;66
3840;98;66
3870;98;66
3900;99;66
3930;98;66
3960;99;64
3990;99;62
4020;98;66
4050;98;71
4080;99;69
4110;99;70
4140;98;75
4170;96;77
4200;97;79
4230;97;82
4260;97;84
4290;98;88
4320;98;88
4350;97;87
4380;96;88
4410;96;87
4440;93;85
4470;93;85
4500;96;80
4530;97;86
4560;97;85
4590;96;88
4620;96;84
4650;98;79
4680;97;73
4710;98;75
4740;98;69
4770;99;75
4800;98;74
4830;97;80
4860;98;78
4890;96;79
4920;97;78
4950;97;82
4980;97;84
5010;95;78
5020;97;74
