Year;GazelleAvgThreshold;LionAvgThreshold;LionAvgScore
0;0;0;0
0;0;0;0
10;0;1;4
20;1;13;23
30;2;42;49
40;3;48;49
50;3;53;58
60;5;51;54
70;5;51;59
80;6;51;65
90;7;51;59
100;8;50;51
110;7;50;60
120;7;52;57
130;6;52;54
140;8;54;50
150;9;54;57
160;10;53;61
170;11;53;55
180;12;53;53
190;13;53;51
200;17;54;44
210;20;56;40
220;21;56;45
230;24;57;43
240;29;52;42
250;33;58;42
260;34;57;36
270;36;52;37
280;40;57;35
290;41;56;38
300;44;58;30
310;43;62;36
320;49;62;34
330;51;68;28
340;51;67;35
350;54;63;32
360;53;60;33
370;52;58;33
380;53;59;26
390;54;59;31
400;55;54;33
410;53;54;29
420;50;53;35
430;51;54;34
440;53;60;30
450;55;62;26
460;59;64;31
470;63;73;28
480;66;71;27
490;62;73;31
500;61;79;27
510;60;75;27
520;59;70;30
530;61;72;31
540;64;69;34
550;64;70;26
