Year;Reproduction;PopSize10
0;0;0
0;0;0
50;2;39
100;7;39
150;0;39
200;3;39
250;3;39
300;0;39
350;5;39
400;3;39
450;9;39
500;1;39
550;7;39
600;3;40
650;9;40
700;5;39
750;5;39
800;1;39
850;7;39
900;0;39
950;3;39
1000;5;39
1050;5;39
1100;3;39
1150;5;39
1200;1;39
1250;5;39
1300;7;40
1350;13;39
1400;1;39
1450;1;39
1500;3;39
1550;9;39
1600;13;40
1650;1;39
1700;7;39
1750;3;39
1800;7;39
1850;7;40
1900;5;39
1950;0;39
2000;11;40
2050;5;40
2100;5;40
2150;3;39
2200;5;40
2250;1;39
2300;0;39
2350;5;39
2400;1;39
2450;3;39
2500;3;40
2550;3;40
2600;3;40
2650;7;39
2700;3;40
2750;5;40
2800;11;40
2850;13;40
2900;9;40
2950;5;39
3000;21;40
3050;7;39
3100;9;40
3150;3;40
3200;3;39
3250;21;40
3300;5;39
3350;7;39
3400;1;39
3450;7;40
3500;11;40
3550;13;39
3600;7;40
3650;9;39
3700;21;39
3750;13;40
3800;19;40
3850;11;40
3900;5;40
3950;9;40
4000;11;40
4050;7;39
4100;9;40
4150;9;40
4200;11;39
4250;17;40
4300;15;40
4350;13;40
4400;13;40
4450;13;40
4500;11;40
4550;15;39
4600;17;40
4650;21;40
4700;27;40
4750;13;40
4800;19;40
4850;15;40
4900;21;40
4950;7;40
5000;27;40
5050;27;40
5100;11;40
5150;11;40
5200;15;40
5250;11;40
5300;17;40
5350;9;39
5400;19;40
5450;15;40
5500;27;40
5550;11;40
5600;11;40
5650;13;40
5700;23;40
5750;21;40
5800;15;40
5850;21;40
5900;23;40
5950;17;40
6000;11;39
6050;7;40
6100;15;40
6150;19;40
6200;17;40
6250;9;40
6300;27;40
6350;23;40
6400;19;40
